gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
SLC39A6,7,0.055052724,0.05428135,-0.001112856738070519,0.8125,0.8945707070707071,True,0.875
MTRNR2L1,7,0.45738634,0.4593819,0.0028789895754434166,0.875,0.95375,False,
NELL2,7,0.12808672,0.11833949,-0.014062279685870016,0.9375,0.9825721153846153,False,
SLC39A9,7,0.040333647,0.041347418,0.0014625619607686825,0.9375,0.9825721153846153,True,0.9375
HOPX,7,0.2338508,0.23526908,0.002046142090808908,0.9375,0.9825721153846153,False,
CD8B,7,0.25271076,0.2655147,0.018472183576884404,0.9375,0.9825721153846153,False,
NUDT1,7,0.14881252,0.15204374,0.004661675742961859,1.0,1.0,False,
RP11-347P5.1,7,0.13959004,0.14423718,0.0067043996785848695,1.0,1.0,False,
CD8A,7,0.20629469,0.21081385,0.006519776302883644,1.0,1.0,False,
NKG7,7,0.572708,0.5546682,-0.026025962572417967,1.0,1.0,False,
HMHA1,7,0.13444619,0.13307682,-0.0019755862082924407,1.0,1.0,False,
