gene,n_pairs,mean_CXCR3-,mean_CXCR3+,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
TOX,18,0.13794774,0.23211664,0.13585700711847223,2.2888184e-05,9.363347833806819e-05,False,
LST1,18,0.5075461,0.2334426,-0.39544779231344646,2.2888184e-05,9.363347833806819e-05,False,
IGHM,18,0.9839681,0.5526889,-0.6222043377362967,2.2888184e-05,9.363347833806819e-05,False,
MT1X,18,0.121492215,0.21283843,0.1317847266689329,2.2888184e-05,9.363347833806819e-05,True,0.0003204345703125
SERPINA1,18,0.2962194,0.07827399,-0.31442878628812493,2.2888184e-05,9.363347833806819e-05,False,
LILRA5,18,0.121961035,0.030551322,-0.1318763396772644,2.2888184e-05,9.363347833806819e-05,False,
MT-ND3,18,3.6625795,3.5259213,-0.19715609543489968,2.2888184e-05,9.363347833806819e-05,False,
PAX5,18,0.46337032,0.21840541,-0.3534096645042543,3.8146973e-05,0.0001430511474609375,False,
CMC1,18,0.25310624,0.42189747,0.24351427694894603,3.8146973e-05,0.0001430511474609375,False,
TRGC2,18,0.06468278,0.1617806,0.140082534858846,3.8146973e-05,0.0001430511474609375,False,
CFD,18,0.2784312,0.109737836,-0.24337307919258766,3.8146973e-05,0.0001430511474609375,False,
EBF1,18,0.35984126,0.21680917,-0.20635168530906367,5.340576e-05,0.0001922607421875,False,
IRAK3,18,0.15308958,0.038539737,-0.1652604939755222,5.340576e-05,0.0001922607421875,False,
IGHG1,18,0.11569864,0.20700647,0.13172934825535507,7.6293945e-05,0.00024523053850446425,False,
RUNX2,18,0.11615793,0.2264279,0.1590859405974986,7.6293945e-05,0.00024523053850446425,False,
CCSER1,18,0.22342497,0.09352822,-0.187401411460612,7.6293945e-05,0.00024523053850446425,False,
CD8B,18,0.1845416,0.37859792,0.27996408649232746,7.6293945e-05,0.00024523053850446425,False,
MT1F,18,0.064792655,0.114661984,0.0719462332617049,7.6293945e-05,0.00024523053850446425,True,0.0005340576171875
TIGIT,18,0.078071915,0.17678928,0.1424190589067211,7.6293945e-05,0.00024523053850446425,False,
SSPN,18,0.07530029,0.13523862,0.08647272636900068,0.00010681152,0.0003314840382543103,False,
PLAUR,18,0.118521005,0.042950153,-0.10902569278772645,0.00010681152,0.0003314840382543103,False,
SLC8A1,18,0.18648894,0.06011127,-0.1823244406114792,0.0001449585,0.00043487548828125,False,
FCGR3A,18,0.36582255,0.19668333,-0.24401631580464592,0.0001449585,0.00043487548828125,False,
CST3,18,0.5661936,0.31857836,-0.3572332472917304,0.00019073486,0.0005281888521634615,False,
C5AR1,18,0.11634196,0.036846098,-0.1146882860608785,0.00019073486,0.0005281888521634615,False,
IGHA1,18,0.20378438,0.3696807,0.23933780725973086,0.00019073486,0.0005281888521634615,False,
CSF3R,18,0.13325879,0.05495222,-0.11297250114454568,0.00019073486,0.0005281888521634615,False,
DUSP2,18,0.17319852,0.3471765,0.2509971560966614,0.00019073486,0.0005281888521634615,False,
MAP3K7CL,18,0.12978564,0.08232575,-0.06847015216921286,0.00025177002,0.000656791355298913,False,
MCTP1,18,0.135807,0.054214668,-0.11771283745244593,0.00025177002,0.000656791355298913,False,
CD74,18,3.1975787,2.6047084,-0.8553309485644546,0.00025177002,0.000656791355298913,False,
FTH1,18,2.8746035,2.6641665,-0.30359650201919364,0.00025177002,0.000656791355298913,False,
MNDA,18,0.26543593,0.11857878,-0.2118700926272986,0.00032806396,0.000820159912109375,False,
NRGN,18,0.14736663,0.10199343,-0.0654596926061005,0.00032806396,0.000820159912109375,False,
IFNG-AS1,18,0.25996682,0.38275588,0.17714716088123064,0.00032806396,0.000820159912109375,False,
IGLC3,18,0.2998625,0.22118391,-0.1135092160022258,0.0004196167,0.0010346713131421234,False,
PTGDR,18,0.079719044,0.13589385,0.08104311584318934,0.0006713867,0.001590126439144737,False,
IFI30,18,0.52289695,0.33308035,-0.27384745902089763,0.0006713867,0.001590126439144737,False,
IRF7,18,0.20917967,0.2948786,0.1236374247963561,0.0006713867,0.001590126439144737,False,
MEF2C-AS1,18,0.12250677,0.057414684,-0.09390803081592113,0.0008392334,0.0019366924579326923,False,
NELL2,18,0.15327562,0.2711314,0.17002993834708094,0.0008392334,0.0019366924579326923,False,
PPBP,18,0.2475932,0.1866636,-0.087902826604419,0.0010018791,0.002282762522750263,False,
RPL27A,18,2.6948009,2.787328,0.13348846205078962,0.001045227,0.002294400843178354,False,
TBXAS1,18,0.2672826,0.1672772,-0.1442772992025467,0.001045227,0.002294400843178354,False,
SLC39A7,18,0.07709864,0.111570515,0.04973240588156492,0.001045227,0.002294400843178354,True,0.004512786865234375
TRDC,18,0.10170749,0.18058494,0.11379610456169632,0.0012893677,0.002698676530704942,False,
HMOX1,18,0.12724389,0.058063217,-0.09980661653280398,0.0012893677,0.002698676530704942,False,
MT1E,18,0.029137608,0.07462427,0.06562338246851701,0.0012893677,0.002698676530704942,True,0.004512786865234375
GNLY,18,0.47435406,0.7160508,0.3486946956373564,0.0012893677,0.002698676530704942,False,
PRKN,18,0.16488464,0.11209358,-0.0761613990473642,0.0014737805,0.002947560977190733,False,
LIX1-AS1,18,0.22752267,0.043699637,-0.2652005797943114,0.0014737805,0.002947560977190733,False,
NIBAN3,18,0.46788707,0.22654448,-0.3481837566794743,0.0014737805,0.002947560977190733,False,
ADAM7-AS1,18,0.16503209,0.054855313,-0.1589514824112709,0.0014737805,0.002947560977190733,False,
PLXDC2,18,0.22180462,0.089839436,-0.19038552543139534,0.0015792847,0.003056680002520161,False,
GZMH,18,0.20627095,0.31420588,0.1557171981769763,0.0015792847,0.003056680002520161,False,
CD68,18,0.2522983,0.15487096,-0.14055793790149354,0.0015792847,0.003056680002520161,False,
MZB1,18,0.1567244,0.26806867,0.16063583749815855,0.0019302368,0.0035453329280931123,False,
PPP2R2B,18,0.10112492,0.17111112,0.1009687463003467,0.0019302368,0.0035453329280931123,False,
PRKCA,18,0.27210084,0.3648767,0.13384726085615217,0.0019302368,0.0035453329280931123,False,
FCRL6,18,0.07826388,0.12548049,0.0681191678255489,0.0019302368,0.0035453329280931123,False,
GZMB,18,0.21863554,0.35335347,0.19435688431162523,0.0019302368,0.0035453329280931123,False,
NAMPT,18,0.28286514,0.18247952,-0.14482583786747363,0.0028076172,0.005003674195544554,False,
AUTS2,18,0.3073417,0.21330003,-0.13567343713650754,0.0028076172,0.005003674195544554,False,
MT2A,18,0.38610235,0.517966,0.19023899621286022,0.0028076172,0.005003674195544554,True,0.007861328124999999
LARGE1,18,0.2040829,0.090344705,-0.16408953934820708,0.0029766362,0.005252887357902878,False,
TAFA1,18,0.0747335,0.11414221,0.056854744899577765,0.003728595,0.006453337667223353,False,
LRMDA,18,0.13974133,0.051826257,-0.1268346467693898,0.003728595,0.006453337667223353,False,
LINC02964,18,0.05713282,0.08906348,0.04606620334300187,0.0046494347,0.007970459493143218,False,
MYO1D,18,0.09211549,0.13377514,0.06010217505774772,0.0047454834,0.007983056184287383,False,
LINC00299,18,0.07008263,0.10886231,0.0559472569444688,0.0047454834,0.007983056184287383,False,
FCRL5,18,0.15057316,0.091192566,-0.08566809478802336,0.0055999756,0.009163596413352272,False,
CEBPD,18,0.13125652,0.084349856,-0.06767201293330559,0.0055999756,0.009163596413352272,False,
