tissue,dataset,total_counts,n_genes_detected
CSF,GSE133028,1259.0,701
CSF,GSE133028,2046.0,932
CSF,GSE133028,4782.0,1869
CSF,GSE133028,1428.0,729
CSF,GSE133028,3562.0,1269
CSF,GSE133028,2264.0,842
CSF,GSE133028,1723.0,917
CSF,GSE133028,4441.0,1509
CSF,GSE133028,2121.0,981
CSF,GSE133028,2219.0,911
CSF,GSE133028,916.0,449
CSF,GSE133028,2025.0,992
CSF,GSE133028,1737.0,743
CSF,GSE133028,1158.0,746
CSF,GSE133028,3301.0,1190
CSF,GSE133028,5192.0,1879
CSF,GSE133028,1891.0,786
CSF,GSE133028,1911.0,994
CSF,GSE133028,5370.0,1988
CSF,GSE133028,1916.0,906
CSF,GSE133028,2102.0,738
CSF,GSE133028,2083.0,977
CSF,GSE133028,1374.0,753
CSF,GSE133028,10223.0,3247
CSF,GSE133028,1955.0,836
CSF,GSE133028,3870.0,1604
CSF,GSE133028,2204.0,1133
CSF,GSE133028,728.0,587
CSF,GSE133028,3621.0,1437
CSF,GSE133028,2983.0,1131
CSF,GSE133028,1693.0,781
CSF,GSE133028,1509.0,769
CSF,GSE133028,2367.0,991
CSF,GSE133028,925.0,377
CSF,GSE133028,2560.0,1147
CSF,GSE133028,2615.0,1244
CSF,GSE133028,1689.0,824
CSF,GSE133028,2609.0,1220
CSF,GSE133028,2963.0,1863
CSF,GSE133028,1864.0,992
CSF,GSE133028,7243.0,2236
CSF,GSE133028,3757.0,1700
CSF,GSE133028,3720.0,1446
CSF,GSE133028,2054.0,914
CSF,GSE133028,2858.0,1746
CSF,GSE133028,2143.0,993
CSF,GSE133028,5961.0,2373
CSF,GSE133028,2002.0,1005
CSF,GSE133028,1212.0,813
CSF,GSE133028,982.0,349
CSF,GSE133028,5650.0,1908
CSF,GSE133028,529.0,414
CSF,GSE133028,2440.0,996
CSF,GSE133028,1775.0,702
CSF,GSE133028,1800.0,844
CSF,GSE133028,1733.0,767
CSF,GSE133028,1647.0,860
CSF,GSE133028,928.0,396
CSF,GSE133028,2288.0,968
CSF,GSE133028,2858.0,1022
CSF,GSE133028,3932.0,1467
CSF,GSE133028,2018.0,837
CSF,GSE133028,1206.0,641
CSF,GSE133028,1448.0,810
CSF,GSE133028,2284.0,1018
CSF,GSE133028,1687.0,735
CSF,GSE133028,1679.0,924
CSF,GSE133028,4548.0,1557
CSF,GSE133028,3208.0,1274
CSF,GSE133028,7145.0,2404
CSF,GSE133028,6310.0,2211
CSF,GSE133028,2267.0,1248
CSF,GSE133028,3100.0,1115
CSF,GSE133028,7464.0,2510
CSF,GSE133028,1952.0,927
CSF,GSE133028,2377.0,1134
CSF,GSE133028,2028.0,965
CSF,GSE133028,1141.0,668
CSF,GSE133028,1408.0,767
CSF,GSE133028,8150.0,2439
CSF,GSE133028,1049.0,636
CSF,GSE133028,1931.0,909
CSF,GSE133028,1487.0,731
CSF,GSE133028,7938.0,2867
CSF,GSE133028,2537.0,1150
CSF,GSE133028,2047.0,1020
CSF,GSE133028,6661.0,2633
CSF,GSE133028,1327.0,613
